name,time,humidity,info,location,sensor_id,temperature
senzore_data,1745231318882792903,50.8,SHT20,"48.9757129374215,17.08574914434807",1,23.1
senzore_data,1745232300937002728,50.3,SHT20,"48.9757129374215,17.08574914434807",1,23.7
senzore_data,1745233038834651429,49.6,SHT20,"48.9757129374215,17.08574914434807",1,24.1
senzore_data,1745233855849894489,51.2,SHT20,"48.9757129374215,17.08574914434807",1,24.5
senzore_data,1745234559915260065,51.1,SHT20,"48.9757129374215,17.08574914434807",1,24.8
senzore_data,1745235564922577412,50.4,SHT20,"48.9757129374215,17.08574914434807",1,25.0
senzore_data,1745236523983711733,51.1,SHT20,"48.9757129374215,17.08574914434807",1,25.2
senzore_data,1745237482825864294,49.5,SHT20,"48.9757129374215,17.08574914434807",1,25.4
senzore_data,1745238285937622837,50.7,SHT20,"48.9757129374215,17.08574914434807",1,25.6
senzore_data,1745239149878589610,48.9,SHT20,"48.9757129374215,17.08574914434807",1,25.9
senzore_data,1745239875854876533,48.0,SHT20,"48.9757129374215,17.08574914434807",1,26.1
senzore_data,1745240793850842744,47.8,SHT20,"48.9757129374215,17.08574914434807",1,26.5
senzore_data,1745241693844965867,47.1,SHT20,"48.9757129374215,17.08574914434807",1,26.6
senzore_data,1745242751843758178,47.2,SHT20,"48.9757129374215,17.08574914434807",1,27.1
senzore_data,1745243599838044427,48.1,SHT20,"48.9757129374215,17.08574914434807",1,26.8
senzore_data,1745244447852619251,49.7,SHT20,"48.9757129374215,17.08574914434807",1,26.7
senzore_data,1745245311893795892,46.4,SHT20,"48.9757129374215,17.08574914434807",1,27.0
senzore_data,1745245896904753313,47.8,SHT20,"48.9757129374215,17.08574914434807",1,27.2
senzore_data,1745246728889835947,46.9,SHT20,"48.9757129374215,17.08574914434807",1,27.1
senzore_data,1745247733848164681,46.8,SHT20,"48.9757129374215,17.08574914434807",1,27.0
senzore_data,1745249019847669751,47.3,SHT20,"48.9757129374215,17.08574914434807",1,27.5
senzore_data,1745249808950720705,46.3,SHT20,"48.9757129374215,17.08574914434807",1,27.8
senzore_data,1745250640929440913,46.7,SHT20,"48.9757129374215,17.08574914434807",1,28.0
senzore_data,1745251671852776919,44.6,SHT20,"48.9757129374215,17.08574914434807",1,28.6
senzore_data,1745252256911573053,43.1,SHT20,"48.9757129374215,17.08574914434807",1,29.4
senzore_data,1745252825875490454,42.4,SHT20,"48.9757129374215,17.08574914434807",1,30.4
senzore_data,1745253394860617493,43.4,SHT20,"48.9757129374215,17.08574914434807",1,30.1
senzore_data,1745254226915436582,45.9,SHT20,"48.9757129374215,17.08574914434807",1,28.0
senzore_data,1745254526933475903,47.2,SHT20,"48.9757129374215,17.08574914434807",1,27.4
senzore_data,1745255180871777810,48.5,SHT20,"48.9757129374215,17.08574914434807",1,26.2
senzore_data,1745255657904441457,51.4,SHT20,"48.9757129374215,17.08574914434807",1,24.6
senzore_data,1745255983909530789,53.9,SHT20,"48.9757129374215,17.08574914434807",1,23.2
senzore_data,1745256358955200483,55.1,SHT20,"48.9757129374215,17.08574914434807",1,22.6
senzore_data,1745257021918347026,54.0,SHT20,"48.9757129374215,17.08574914434807",1,23.0
senzore_data,1745257784855242599,52.6,SHT20,"48.9757129374215,17.08574914434807",1,23.5
senzore_data,1745258467860560266,52.1,SHT20,"48.9757129374215,17.08574914434807",1,23.6
senzore_data,1745259587946263533,52.0,SHT20,"48.9757129374215,17.08574914434807",1,23.2
senzore_data,1745260505956763332,52.3,SHT20,"48.9757129374215,17.08574914434807",1,22.9
senzore_data,1745261464945557855,52.8,SHT20,"48.9757129374215,17.08574914434807",1,22.4
senzore_data,1745262253996094484,53.1,SHT20,"48.9757129374215,17.08574914434807",1,21.9
senzore_data,1745263070859522905,53.8,SHT20,"48.9757129374215,17.08574914434807",1,21.5
senzore_data,1745263887913034973,54.6,SHT20,"48.9757129374215,17.08574914434807",1,21.2
senzore_data,1745264751946800461,55.4,SHT20,"48.9757129374215,17.08574914434807",1,21.1
senzore_data,1745265782899278104,56.1,SHT20,"48.9757129374215,17.08574914434807",1,20.8
senzore_data,1745266664883853438,56.5,SHT20,"48.9757129374215,17.08574914434807",1,20.6
senzore_data,1745267695907995013,57.4,SHT20,"48.9757129374215,17.08574914434807",1,20.3
senzore_data,1745268544051175209,57.9,SHT20,"48.9757129374215,17.08574914434807",1,20.1
senzore_data,1745269548902665277,58.4,SHT20,"48.9757129374215,17.08574914434807",1,19.8
senzore_data,1745270466883545111,59.1,SHT20,"48.9757129374215,17.08574914434807",1,19.3
senzore_data,1745271229964667723,61.1,SHT20,"48.9757129374215,17.08574914434807",1,19.0
senzore_data,1745271933906288915,61.3,SHT20,"48.9757129374215,17.08574914434807",1,18.9
senzore_data,1745273170911651836,63.5,SHT20,"48.9757129374215,17.08574914434807",1,18.9
senzore_data,1745274002898395764,64.6,SHT20,"48.9757129374215,17.08574914434807",1,18.7
senzore_data,1745274884905989103,65.5,SHT20,"48.9757129374215,17.08574914434807",1,18.7
senzore_data,1745276004951587047,65.0,SHT20,"48.9757129374215,17.08574914434807",1,18.9
senzore_data,1745277009896199757,63.8,SHT20,"48.9757129374215,17.08574914434807",1,19.0
senzore_data,1745277947890963605,66.2,SHT20,"48.9757129374215,17.08574914434807",1,18.8
senzore_data,1745278651909199374,64.5,SHT20,"48.9757129374215,17.08574914434807",1,18.8
senzore_data,1745279569976352949,63.6,SHT20,"48.9757129374215,17.08574914434807",1,18.9
senzore_data,1745280574904914589,63.7,SHT20,"48.9757129374215,17.08574914434807",1,19.1
senzore_data,1745281694950595921,64.2,SHT20,"48.9757129374215,17.08574914434807",1,19.0
senzore_data,1745282814881222905,64.4,SHT20,"48.9757129374215,17.08574914434807",1,18.9
senzore_data,1745284051885618485,66.1,SHT20,"48.9757129374215,17.08574914434807",1,18.4
senzore_data,1745284705905357728,65.1,SHT20,"48.9757129374215,17.08574914434807",1,18.3
senzore_data,1745285687912709458,64.4,SHT20,"48.9757129374215,17.08574914434807",1,18.3
senzore_data,1745286881904106496,64.4,SHT20,"48.9757129374215,17.08574914434807",1,17.8
senzore_data,1745287745897634995,64.8,SHT20,"48.9757129374215,17.08574914434807",1,17.5
senzore_data,1745288683910785644,64.2,SHT20,"48.9757129374215,17.08574914434807",1,17.2
senzore_data,1745289583885319473,63.7,SHT20,"48.9757129374215,17.08574914434807",1,17.0
senzore_data,1745290588903086228,69.2,SHT20,"48.9757129374215,17.08574914434807",1,15.6
senzore_data,1745290888919931933,70.0,SHT20,"48.9757129374215,17.08574914434807",1,15.4
senzore_data,1745291826954450238,68.5,SHT20,"48.9757129374215,17.08574914434807",1,15.9
senzore_data,1745292499890627549,66.6,SHT20,"48.9757129374215,17.08574914434807",1,16.2
senzore_data,1745293214946226514,65.9,SHT20,"48.9757129374215,17.08574914434807",1,16.3
senzore_data,1745294272878079095,64.8,SHT20,"48.9757129374215,17.08574914434807",1,16.1
senzore_data,1745295154937659247,65.1,SHT20,"48.9757129374215,17.08574914434807",1,15.9
senzore_data,1745296212962380640,65.0,SHT20,"48.9757129374215,17.08574914434807",1,15.9
senzore_data,1745499821047664057,55.6,SHT20,"48.9757129374215,17.08574914434807",1,23.9
senzore_data,1745499881026004852,53.0,SHT20,"48.9757129374215,17.08574914434807",1,24.3
senzore_data,1745500490093025233,51.1,SHT20,"48.9757129374215,17.08574914434807",1,24.6
senzore_data,1745501205071252221,50.7,SHT20,"48.9757129374215,17.08574914434807",1,25.0
senzore_data,1745502035203244422,51.6,SHT20,"48.9757129374215,17.08574914434807",1,24.9
senzore_data,1745502095188816348,50.7,SHT20,"48.9757129374215,17.08574914434807",1,24.9
senzore_data,1745503215118275442,50.5,SHT20,"48.9757129374215,17.08574914434807",1,25.3
senzore_data,1745504114198143505,51.3,SHT20,"48.9757129374215,17.08574914434807",1,25.0
senzore_data,1745504978165607464,49.3,SHT20,"48.9757129374215,17.08574914434807",1,25.4
senzore_data,1745505641202906947,50.6,SHT20,"48.9757129374215,17.08574914434807",1,25.1
senzore_data,1745506430093172247,49.8,SHT20,"48.9757129374215,17.08574914434807",1,23.7
senzore_data,1745506890166689507,55.5,SHT20,"48.9757129374215,17.08574914434807",1,22.4
