name,time,humidity,location,sensor_id,temperature
senzore_data,1744350337394889324,45.2,"48.9757129374215,17.08574914434807",1,13.8
senzore_data,1744350638166813365,43.3,"48.9757129374215,17.08574914434807",1,14.5
senzore_data,1744350758987047280,43,"48.9757129374215,17.08574914434807",1,14.4
senzore_data,1744351660242360420,42.4,"48.9757129374215,17.08574914434807",1,16
senzore_data,1744351781067210829,41.2,"48.9757129374215,17.08574914434807",1,16.6
senzore_data,1744351901901821636,41.6,"48.9757129374215,17.08574914434807",1,17.3
senzore_data,1744352022623386055,39.6,"48.9757129374215,17.08574914434807",1,17.9
senzore_data,1744352143348136925,39.8,"48.9757129374215,17.08574914434807",1,18.6
senzore_data,1744352264080264614,38.8,"48.9757129374215,17.08574914434807",1,19.2
senzore_data,1744352384818374242,37.6,"48.9757129374215,17.08574914434807",1,19.7
senzore_data,1744352685786953313,36.9,"48.9757129374215,17.08574914434807",1,20.5
senzore_data,1744352807974267956,36.3,"48.9757129374215,17.08574914434807",1,20.6
senzore_data,1744353708808042240,35.5,"48.9757129374215,17.08574914434807",1,21.5
senzore_data,1744353832086187296,34.9,"48.9757129374215,17.08574914434807",1,21.8
senzore_data,1744354133312619459,34.5,"48.9757129374215,17.08574914434807",1,22.2
senzore_data,1744354434174737399,33.8,"48.9757129374215,17.08574914434807",1,22.9
senzore_data,1744354555760376969,33.9,"48.9757129374215,17.08574914434807",1,22.9
senzore_data,1744355456594293689,33.9,"48.9757129374215,17.08574914434807",1,22.2
senzore_data,1744355577437169752,34.4,"48.9757129374215,17.08574914434807",1,21.5
senzore_data,1744355698281274828,36.2,"48.9757129374215,17.08574914434807",1,20.6
senzore_data,1744355819129642959,36.8,"48.9757129374215,17.08574914434807",1,19.8
senzore_data,1744355939971969043,38.1,"48.9757129374215,17.08574914434807",1,19.4
senzore_data,1744356240801207404,38.1,"48.9757129374215,17.08574914434807",1,19.4
senzore_data,1744357141625971310,39.2,"48.9757129374215,17.08574914434807",1,18.4
senzore_data,1744357263427590496,40.2,"48.9757129374215,17.08574914434807",1,18.5
senzore_data,1744358165270133044,40.9,"48.9757129374215,17.08574914434807",1,18.4
senzore_data,1744359066055070818,40,"48.9757129374215,17.08574914434807",1,18.6
senzore_data,1744359366916334772,40,"48.9757129374215,17.08574914434807",1,18.6
senzore_data,1744360268929949873,41.5,"48.9757129374215,17.08574914434807",1,18.6
senzore_data,1744361171294501870,24.5,"48.9757129374215,17.08574914434807",1,34
senzore_data,1744361292146188677,20.9,"48.9757129374215,17.08574914434807",1,35.8
senzore_data,1744361412993806980,20.9,"48.9757129374215,17.08574914434807",1,34.8
senzore_data,1744361534322037612,21.2,"48.9757129374215,17.08574914434807",1,35.1
senzore_data,1744361835120485324,19.7,"48.9757129374215,17.08574914434807",1,37.8
senzore_data,1744361955993752456,19.5,"48.9757129374215,17.08574914434807",1,38.1
senzore_data,1744362258627926021,18.6,"48.9757129374215,17.08574914434807",1,39.7
senzore_data,1744362379395112961,17.9,"48.9757129374215,17.08574914434807",1,40.1
senzore_data,1744362681975356011,17.8,"48.9757129374215,17.08574914434807",1,42
senzore_data,1744362803236427152,17.4,"48.9757129374215,17.08574914434807",1,42.2
senzore_data,1744363105080479465,17.1,"48.9757129374215,17.08574914434807",1,40.8
senzore_data,1744363225954036940,17.1,"48.9757129374215,17.08574914434807",1,41.5
senzore_data,1744363346727997576,16.7,"48.9757129374215,17.08574914434807",1,42.5
senzore_data,1744363468963413113,16.7,"48.9757129374215,17.08574914434807",1,43.4
senzore_data,1744363589764915420,15.9,"48.9757129374215,17.08574914434807",1,45.6
senzore_data,1744363710586943157,14.9,"48.9757129374215,17.08574914434807",1,46.3
senzore_data,1744363831880842268,15.8,"48.9757129374215,17.08574914434807",1,43.4
senzore_data,1744363952659761509,17.3,"48.9757129374215,17.08574914434807",1,40.3
senzore_data,1744364073421796079,18.2,"48.9757129374215,17.08574914434807",1,40.4
senzore_data,1744364974219551906,16.8,"48.9757129374215,17.08574914434807",1,41.9
senzore_data,1744365094996775274,16.5,"48.9757129374215,17.08574914434807",1,42.7
senzore_data,1744365215766364463,16.5,"48.9757129374215,17.08574914434807",1,42.5
senzore_data,1744365516527242226,17.4,"48.9757129374215,17.08574914434807",1,40.2
senzore_data,1744365637379875980,18.6,"48.9757129374215,17.08574914434807",1,36.9
senzore_data,1744365758337857762,20,"48.9757129374215,17.08574914434807",1,34.6
senzore_data,1744365879143291558,21.8,"48.9757129374215,17.08574914434807",1,32.3
senzore_data,1744365999929968913,22.9,"48.9757129374215,17.08574914434807",1,31.1
senzore_data,1744366121194961905,23.8,"48.9757129374215,17.08574914434807",1,29.9
senzore_data,1744366241962928775,24,"48.9757129374215,17.08574914434807",1,29.6
senzore_data,1744366542911419302,27.4,"48.9757129374215,17.08574914434807",1,27.2
senzore_data,1744366663673338241,28,"48.9757129374215,17.08574914434807",1,26.6
senzore_data,1744366785520870920,28.2,"48.9757129374215,17.08574914434807",1,26.3
senzore_data,1744367086298239857,28.2,"48.9757129374215,17.08574914434807",1,26.3
senzore_data,1744367987145304540,30.8,"48.9757129374215,17.08574914434807",1,24.5
senzore_data,1744368108246003427,31,"48.9757129374215,17.08574914434807",1,24.5
senzore_data,1744369009049563724,32.6,"48.9757129374215,17.08574914434807",1,24.1
senzore_data,1744369310272856352,33.2,"48.9757129374215,17.08574914434807",1,23.7
senzore_data,1744369612463214629,33,"48.9757129374215,17.08574914434807",1,23.6
senzore_data,1744370515510300717,34.5,"48.9757129374215,17.08574914434807",1,24.2
senzore_data,1744370636366973386,33.6,"48.9757129374215,17.08574914434807",1,24
senzore_data,1744371537141590257,34.1,"48.9757129374215,17.08574914434807",1,25.6
senzore_data,1744371658014857061,32.2,"48.9757129374215,17.08574914434807",1,25.7
senzore_data,1744372558879801811,32.1,"48.9757129374215,17.08574914434807",1,25.7
senzore_data,1744373460163157455,31.9,"48.9757129374215,17.08574914434807",1,25.8
senzore_data,1744374361255365140,33.5,"48.9757129374215,17.08574914434807",1,25.1
senzore_data,1744374487217176830,32.6,"48.9757129374215,17.08574914434807",1,24.8
senzore_data,1744374787985163315,34.3,"48.9757129374215,17.08574914434807",1,24.4
senzore_data,1744375088751607903,35.7,"48.9757129374215,17.08574914434807",1,23.7
senzore_data,1744375209479194214,35.2,"48.9757129374215,17.08574914434807",1,23.7
senzore_data,1744376110268620255,37.7,"48.9757129374215,17.08574914434807",1,23.3
senzore_data,1744376411235840766,38.8,"48.9757129374215,17.08574914434807",1,23.4
senzore_data,1744377313294218450,35.7,"48.9757129374215,17.08574914434807",1,23.6
senzore_data,1744377614028062754,33.8,"48.9757129374215,17.08574914434807",1,24.2
senzore_data,1744377737068814302,35.4,"48.9757129374215,17.08574914434807",1,23.6
senzore_data,1744377857802417333,34.6,"48.9757129374215,17.08574914434807",1,23.1
senzore_data,1744378159001254329,36,"48.9757129374215,17.08574914434807",1,22.7
senzore_data,1744378459825979340,35.4,"48.9757129374215,17.08574914434807",1,22.7
senzore_data,1744379363088629205,32.5,"48.9757129374215,17.08574914434807",1,22.4
senzore_data,1744379663909297233,33,"48.9757129374215,17.08574914434807",1,22.3
senzore_data,1744380567033033525,31.3,"48.9757129374215,17.08574914434807",1,21.1
senzore_data,1744380687266257311,32.4,"48.9757129374215,17.08574914434807",1,21
senzore_data,1744381588032474151,32.8,"48.9757129374215,17.08574914434807",1,20.5
senzore_data,1744381888825772138,31.6,"48.9757129374215,17.08574914434807",1,20.2
senzore_data,1744382189637515501,32.2,"48.9757129374215,17.08574914434807",1,20
